"","Subject","Image","Threatened_Rating","Surprise_Rating","Suffering_Rating","SociallyAcceptable_Rating","Sadness_Rating","Relate_Rating","Pleasant_Rating","Narrative_Rating","Joy_Rating","Interact_Rating","Immoral_Rating","Fear_Rating","Disgust_Rating","Desire_Rating","Contamination_Rating","Avoid_Rating","Astonished_Rating","Anger_Rating","Affection_Rating"
"278","sub-sid000765","AC-beauty.jpg",-2.891935336,13.03612044,0.484149637,91.14769791,43.86370412,4.219360831,76.81047243,97.69459433,63.56926165,15.22621802,21.87378913,57.18675788,80.21705339,3.71371308,0.084604941,63.22258757,69.55843712,59.02219112,-3.783827301
"279","sub-sid000499","AC-beauty.jpg",-1.007110804,10.35586604,5.246738324,96.59066808,34.09127589,24.97577756,73.14507521,91.98955106,48.56131538,18.11057694,19.66381231,14.73721861,78.73075281,13.73857892,2.62578526,43.05746267,71.34421262,41.38945619,23.69530472
"280","sub-sid000879","AC-beauty.jpg",20.2124418,32.24896646,49.13932424,71.76860229,51.4123736,28.31182519,53.5526301,58.39662206,54.39281971,38.9895601,37.89870849,46.56803232,51.53730379,36.61206043,30.34257327,41.17285548,66.74978706,54.5573399,24.74475443
"281","sub-sid000013","AC-beauty.jpg",5.469747928,29.40930558,14.46680914,2.91502666,1.224217197,11.25640792,59.12938698,61.58571726,16.20245814,14.08849891,10.00936522,43.85086961,2.955411221,11.18969627,14.1546699,17.49536378,75.37291494,0.185320622,6.054517959
"282","sub-sid000955","AC-beauty.jpg",3.800449251,25.98830108,4.639735145,88.32743663,60.09751019,26.0586924,94.17347668,54.80026801,71.99515603,14.60576735,10.19409175,64.9340741,74.75992468,16.28133265,-1.554538892,92.99866248,71.09914641,63.58302853,8.698525683
"283","sub-sid000876","AC-beauty.jpg",7.863120105,6.904475159,9.672403004,78.80443053,46.03979913,18.11720828,57.22297328,60.56259133,46.15750365,37.59372723,6.806336708,59.71669304,76.16695162,22.8059501,11.47198883,51.82033577,60.59591295,76.63277231,11.50534536
"284","sub-sid000710","AC-beauty.jpg",1.035807021,-5.363242976,-1.121271102,92.5508663,34.00495174,15.97925712,67.9173893,75.89151859,73.23594828,14.59125762,0.927921728,74.73376716,56.86050171,13.47831391,11.81703124,58.2017073,58.69397987,20.88125688,12.49015249
"285","sub-sid000869","AC-beauty.jpg",9.293108953,0.411467005,-4.493001896,83.57966451,47.0724742,1.596769705,50.20318432,69.13962246,59.9425138,-0.222214351,-3.657170027,54.40470362,50.09040952,7.181975658,3.47268809,49.93720039,50.50614074,83.69553668,9.141400997
"286","sub-sid000959","AC-beauty.jpg",4.53854586,2.914703413,5.29739607,95.76634183,17.2350835,12.83108882,70.08701148,82.70089555,51.31562845,1.44014899,-1.240575676,45.18443838,58.79154391,16.27924317,-4.296589681,37.15693868,97.69128364,0.513827719,7.670971166
"287","sub-sid000974","AC-beauty.jpg",8.459461322,29.30211519,1.293903298,84.86422153,55.82504264,-0.977111228,66.54291033,54.76269828,18.22601766,2.95325581,9.918181424,18.52257481,74.16908854,-0.292092114,5.340563618,27.48934757,64.93711688,53.61614999,15.69854311
"288","sub-sid000863","AC-beauty.jpg",1.750087061,42.32422464,5.792987467,86.50295591,84.30193785,-3.363265501,79.20340829,66.44748616,39.62813469,15.17616715,1.172354839,53.15144655,80.42498558,4.792882651,-1.134494546,16.57286876,69.58456666,72.37080767,-0.626037234
"289","sub-sid000969","AC-beauty.jpg",0.530658358,15.44708422,10.45133121,90.31898289,55.9760301,2.047363204,74.43921766,67.36247003,39.91952664,1.68462313,16.68882135,74.55579915,64.66906682,3.290988189,3.604885241,57.54516634,64.53657506,49.07381207,15.37004183
"290","sub-sid000927","AC-beauty.jpg",8.321619527,18.37820905,10.19153278,72.97210881,38.70828134,14.81694814,90.45126029,73.06078746,50.31683483,22.62207931,10.63688952,58.40195809,64.88333285,19.60158311,-0.229296916,61.84472093,35.83914926,83.04607201,6.634588729
"291","sub-sid000892","AC-beauty.jpg",5.319036174,18.00045339,7.4567839,90.9976571,39.25020083,42.00585769,88.85580424,93.16217218,57.11364233,13.37941558,24.5555555,70.27553934,49.97070778,8.238152454,9.123835746,89.7795477,78.37889903,51.91014491,13.85402508
"292","sub-sid000887","AC-beauty.jpg",0.678384121,-10.83723553,29.52145151,81.38367977,61.64925592,16.02601023,68.37288772,98.65180495,4.48572912,10.31856125,12.9164256,62.2183108,60.17417663,19.71559935,1.474450878,36.33161518,93.87983686,81.38970927,0.935665851
"293","sub-sid000870","AC-beauty.jpg",1.330187926,13.52147141,-5.484023438,89.08119827,53.16675664,-0.314370113,97.72108667,80.70169152,22.53114475,1.475189217,3.919227175,62.57596451,76.83001558,0.626822488,3.953049582,22.89813904,80.24289986,81.56378604,1.163851014
"294","sub-sid000895","AC-beauty.jpg",1.512747638,30.69483041,10.85232011,91.02574104,55.65850177,0.181362064,69.02643065,79.7585515,18.47919268,33.89131456,13.28737135,39.99939037,82.82325817,23.3032487,1.248605506,46.26328937,85.78439087,73.6862101,18.20822306
"295","sub-sid000970","AC-beauty.jpg",3.022083896,26.92480492,-1.466607918,84.11362837,71.68792978,14.49470139,69.02968984,75.97271015,41.9866154,4.675377314,20.81409272,43.21731995,56.08976954,5.696731392,-5.230001476,40.85608821,81.55355696,49.66790497,14.95017795
"296","sub-sid000522","AC-beauty.jpg",9.418560252,21.49680542,14.57375871,56.891582,16.70169028,5.140536183,71.32423869,81.2294913,31.99834,20.8637332,6.286336112,53.04353839,32.13335452,27.0115041,18.52242782,15.23329683,50.7428569,23.21076917,29.01887063
"297","sub-sid000874","AC-catch.jpg",6.189940388,4.278138332,10.66635882,89.80594978,64.93116001,3.854541009,73.45311805,59.45643765,49.64263501,12.30921584,6.236354174,52.18411262,40.25548384,18.98152271,11.7510416,18.00139957,75.42668586,25.32129277,2.671172887
"298","sub-sid000873","AC-catch.jpg",7.288847935,5.830214368,10.72053905,79.55968487,43.03859598,9.585636795,61.37968288,55.17615097,38.65349284,8.748910862,3.914013914,57.1587494,55.76572244,6.325995348,8.390035207,7.816929533,60.21148154,28.81999455,8.546526443
"299","sub-sid000888","AC-catch.jpg",3.466828545,5.832015302,33.32034399,88.15262798,78.58929471,-1.96976299,76.52274525,81.85883064,53.87074491,7.771176436,9.59213243,54.55248792,55.66341275,4.921310689,-0.474710185,99.49487883,46.34079368,53.50789108,31.1642059
"300","sub-sid000877","AC-catch.jpg",11.44675606,1.186960573,15.04701761,91.64636232,44.2099253,13.07487955,72.80869191,62.3263077,38.32413457,0.718036308,4.794629429,51.07237074,66.46737587,16.22985108,15.4784337,35.83522424,34.70749932,62.44953548,32.61616901
"301","sub-sid000972","AC-catch.jpg",16.05635253,0.342844291,16.15088572,87.35484999,55.99403684,6.1392668,65.48376535,63.65169636,50.121508,3.812387411,3.066626092,44.72553116,29.96586792,36.0912746,12.32508964,58.24622487,38.19568845,39.6620892,25.50348948
"302","sub-sid000894","AC-catch.jpg",37.1520938,50.44040244,42.57265135,74.75864638,29.41146017,32.91085555,44.5887589,65.31747581,63.53875415,57.40071334,24.7955172,15.74779222,14.7125492,38.40445275,44.78058362,25.14508294,31.28776346,5.025845272,60.01592302
"303","sub-sid000893","AC-catch.jpg",3.471071044,14.5776229,1.598173467,46.191881,42.43471218,18.04591535,61.34089863,72.23118451,30.32114499,-2.967346152,7.233662065,48.81142905,26.23248525,8.06771434,1.945403068,41.6244216,45.58828321,23.04584526,12.72181154
